(0.34694278119367206, 2.446942781193672),
(0.42480953071047234, 2.369233261155884),
(0.5025853927403221, 2.29144651578949),
(0.5801866407767486, 2.213511404311612),
(0.6577659554927209, 2.13555765651826),
(0.7357608274019345, 2.0579569995835008),
(0.8143965425638633, 1.980900854687047),
(0.8924853779505955, 1.903380036690208),
(0.9683334543433428, 1.8239552893908475),
(1.0430183197332568, 1.743542184343395),
(1.1224969725453469, 1.6672022671611448),
(1.2126165000161353, 1.6008830543788308),
(1.3132821448851413, 1.5550872433749208),
(1.4209963760555235, 1.5408129323458475),
(1.5318377385595172, 1.546136684567033),
(1.642213345826295, 1.5485133551639148),
(1.751955318172313, 1.5468806737767629),
(1.8619076154838137, 1.5465788266959057),
(1.971975721445848, 1.5470097825062334),
(2.0819759728486287, 1.5470113927005993),
(2.1919630795323966, 1.5469297415178334),
(2.301967210750354, 1.5469558421552705),
(2.4119542384613233, 1.5468740772473213),
(2.5219545201657394, 1.5468758349376435),
(2.632022882003506, 1.5473070680074321),
(2.7419748999418863, 1.5470043901108925),
(2.8517159912677656, 1.545371122740359),
(2.962093394842141, 1.5477518896280702),
(3.0729373054729745, 1.5530755169745163),
(3.1806416592490816, 1.5387818847907218),
(3.2812931418310587, 1.4929659319092439),
(3.3714377633085806, 1.4266668436213212),
(3.4509711772735687, 1.3503743707286098),
(3.5256250456689275, 1.2699344494427296),
(3.601264148124541, 1.190328828211103),
(3.6792228235513185, 1.1126953545683125),
(3.7582640727244425, 1.0359901799816083),
(3.837123016565131, 0.9591373360978013),
(3.914539051764238, 0.8810422796534947),
(3.9894878983800344, 0.8008116527397826),
(4.06489863575942, 0.7209780151749383),
(4.146978347285668, 0.646914592479172),
(4.2404213646609215, 0.5852916626897545),
(4.343482580145638, 0.5476183933136374),
(4.452616243841675, 0.5410078824987496),
(4.563431071752605, 0.5478807767908054),
(4.67317334322737, 0.5498811151163641),
(4.783850964175125, 0.5443364867630114),
(4.894722729128505, 0.5407183273346317),
(4.999804869025251, 0.5626163934639625),
(5.097722200047036, 0.6139741381400282),
(5.192104219378672, 0.6782522499760235),
(5.289101370815466, 0.732234059007079),
(5.396817941338233, 0.7480260906277569),
(5.50888474149478, 0.7416700458119632),
(5.6037718242959915, 0.7755968462253895),
(5.680030383981013, 0.8571034351461817),
(5.751174617765207, 0.9522173089077912),
(5.827394690337483, 1.0349319918397004),
(5.906620889726478, 1.109012581562126),
(5.984389350032279, 1.184183464736392),
(6.060654805463864, 1.263001076512268),
(6.1399463905261555, 1.3406011579944066),
(6.224568008281231, 1.4138245190400276),
(6.3042481075129615, 1.4900822061682657),
(6.364980330891582, 1.579957156589456),
(6.409996045837524, 1.6813564570025772),
(6.468193082617304, 1.773309618083676),
(6.549608677371808, 1.8484816419638173),
(6.629740950302187, 1.9245517876635696),
